Id,task_1,task_2
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_79.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_80.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_81.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_82.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_83.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155557_cell_84.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_89.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_90.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_91.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_92.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_93.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_94.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_95.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_96.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_97.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_155947_cell_98.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_58.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_59.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_60.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_61.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_62.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_63.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_64.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_65.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_66.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_67.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_68.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_160140_cell_69.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_161126_cell_114.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_161126_cell_115.png,1,0
cell_images_full/test/parasitized/C51AP12thinF_IMG_20150724_161126_cell_116.png,1,0
